M,P,Time
262144,8,0.141358
262144,8,0.110445
262144,8,0.073450
262144,8,0.089397
262144,8,0.086745
262144,16,0.132666
262144,16,0.148265
262144,16,0.127649
262144,16,0.132693
262144,16,0.133119
262144,32,0.363825
262144,32,0.327748
262144,32,0.297258
262144,32,0.318354
262144,32,0.301323
1048576,8,0.239332
1048576,8,0.241043
1048576,8,0.255210
1048576,8,0.272004
1048576,8,0.239325
1048576,16,0.622439
1048576,16,0.470732
1048576,16,0.538478
1048576,16,0.444601
1048576,16,0.581646
1048576,32,2.358813
1048576,32,1.384506
1048576,32,1.414367
1048576,32,1.233256
1048576,32,1.239572
